Date,Stock,Synthetic,Hedged_PnL,Parity_Error
2025-09-01,3598.39990234375,3754.926314090528,-0.4400212742716576,0.0
2025-09-02,3574.89990234375,3740.7035680909225,0.7467678212490227,0.0
2025-09-03,3600.800048828125,3754.2173467067905,1.9254265959975783,4.547473508864641e-13
2025-09-04,3592.60009765625,3748.4939252189506,3.3547167314297894,0.0
2025-09-05,3553.60009765625,3726.0900948378257,4.1290376064569045,0.0
2025-09-08,3529.60009765625,3712.61748046806,5.332501060511277,4.547473508864641e-13
2025-09-09,3525.0,3709.265211357181,6.813891299220586,0.0
2025-09-10,3550.0,3721.013028509665,8.059679429053176,-4.547473508864641e-13
2025-09-11,3539.699951171875,3714.5980967876076,9.529725577439194,0.0
2025-09-12,3579.800048828125,3734.7835088943307,10.355733495997356,-4.547473508864641e-13
2025-09-15,3586.199951171875,3737.173977711541,11.904578158009826,0.0
2025-09-16,3667.800048828125,3784.3085109131935,10.444234839551427,0.0
2025-09-17,3685.5,3794.376488824909,11.863163632178384,0.0
2025-09-18,3686.0,3793.4809565271053,13.421621265660633,0.0
2025-09-19,3675.39990234375,3785.455550313465,14.94707591693259,0.0
2025-09-22,3644.5,3764.991942257622,16.108880455210738,-4.547473508864641e-13
2025-09-23,3657.60009765625,3771.7587384218145,17.670980413230836,0.0
2025-09-24,3673.800048828125,3780.6320678362113,19.197096229297586,0.0
2025-09-25,3644.39990234375,3761.072669288468,20.441861977591998,-4.547473508864641e-13
2025-09-26,3729.5,3814.8341279439665,18.68450746941153,0.0
2025-09-29,3688.39990234375,3786.040766383041,19.559840525464097,4.547473508864641e-13
2025-09-30,3659.0,3766.001510052593,20.84384251624715,4.547473508864641e-13
2025-10-01,3670.300048828125,3771.6979141763704,22.524820619978982,4.547473508864641e-13
2025-10-03,3733.10009765625,3811.9510595046786,22.332502229362944,0.0
2025-10-06,3737.0,3813.277523914813,24.00646288849839,-4.547473508864641e-13
2025-10-07,3729.699951171875,3806.7959257461252,25.686322562043188,0.0
2025-10-08,3729.800048828125,3805.432052385778,27.417445359850262,0.0
2025-10-09,3769.199951171875,3832.0700541662554,28.388115805865255,0.0
2025-10-10,3784.0,3841.5936667484857,29.950869101482112,0.0
2025-10-13,3769.5,3829.4239198543282,31.549158356875523,0.0
2025-10-14,3744.300048828125,3809.697428372352,33.01605066144248,4.547473508864641e-13
2025-10-15,3828.699951171875,3871.784565203486,31.34264033017962,4.547473508864641e-13
2025-10-16,3861.800048828125,3897.1188918789067,32.399119169879214,0.0
2025-10-17,3839.39990234375,3877.5870255253117,33.74817579795581,0.0
2025-10-20,3872.699951171875,3903.5541986805247,34.78447679941564,0.0
2025-10-21,3888.199951171875,3915.328775669992,36.10452564580237,0.0
2025-10-23,3918.699951171875,3940.3794402717135,37.08484804217187,0.0
2025-10-24,3904.89990234375,3927.208003373102,38.351604752999265,0.0
2025-10-27,3923.800048828125,3942.579025599706,39.502287181730935,-4.547473508864641e-13
2025-10-28,3972.800048828125,3985.590117189731,39.87063988477166,-4.547473508864641e-13
2025-10-29,3958.10009765625,3971.2163068655627,40.90188213500505,0.0
2025-10-30,3987.5,3997.3290657845764,41.64984850959763,0.0
2025-10-31,4030.89990234375,4037.334930079363,42.02830762954409,0.0
2025-11-03,3980.5,3989.088460765704,42.46881904043903,0.0
2025-11-04,3924.39990234375,3936.394162560152,42.864754105834436,0.0
2025-11-05,3924.39990234375,3935.3008547354248,44.05616748984494,4.547473508864641e-13
2025-11-06,3881.60009765625,3895.449521609253,44.88205225889851,4.547473508864641e-13
2025-11-07,3882.5,3894.9533323272326,46.2947755272553,0.0
2025-11-10,3918.5,3926.6445427867234,47.0423358337498,0.0
2025-11-11,3955.0,3959.995243330459,47.6110406540306,4.547473508864641e-13
2025-11-12,3954.60009765625,3958.814989394262,48.46986854848865,0.0
2025-11-13,4002.5,4004.505210057341,48.63202169622309,0.0
2025-11-14,4004.39990234375,4005.902380789463,49.124561946306585,0.0
2025-11-17,4027.699951171875,4028.498489557234,49.417816175193366,0.0
2025-11-18,3999.60009765625,4000.417626312885,49.73526374347057,-4.547473508864641e-13
2025-11-19,4019.60009765625,4019.9791994655893,49.95634601340271,0.0
2025-11-20,4037.39990234375,4037.5507775045908,50.090188036276686,4.547473508864641e-13
2025-11-21,4024.89990234375,4024.9885048320007,50.20318113378562,-4.547473508864641e-13
2025-11-24,4013.300048828125,4013.341894845964,50.285753395085976,4.547473508864641e-13
2025-11-25,3996.699951171875,3996.7162193860663,50.34145445591139,4.547473508864641e-13
2025-11-26,4062.0,4062.000139498749,50.33891301337826,0.0
2025-11-27,4081.300048828125,4081.300049042106,50.350931837699136,0.0
2025-11-28,4069.60009765625,4069.60009765625,50.362921967267994,-4.547473508864641e-13
